#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260905    03:29:38       0    411     55     60    100     67      0      0      0      0   2619   1980  15729  15730      0 
 20260905    03:29:38       1    171     42     44     44      9      0      0      0      0   2619   1980   9973   9974      0 
 20260905    03:29:43       0    370     55     56     74     36      0      0      0      0   2619   1980  15729  15730      0 
 20260905    03:29:43       1    167     42     44     44      8      0      0      0      0   2619   1980   9973   9974      0 
 20260905    03:29:48       0    320     54     56     69     33      0      0      0      0   2619   1980  15733  15734      0 
 20260905    03:29:48       1    170     42     44     45      9      0      0      0      0   2619   1980   9973   9974      0 
 20260905    03:29:53       0    360     53     55     34     15      0      0      0      0   2619   1980  15733  15734      0 
 20260905    03:29:53       1    173     42     44     44      9      0      0      0      0   2619   1980   9973   9974      0 
 20260905    03:29:58       0    245     50     51      4      0      0      0      0      0   2619   1980  15733  15734      0 
 20260905    03:29:58       1    180     42     45     44      9      0      0      0      0   2619   1980  10129  10130      0 
 20260905    03:30:03       0    401     55     58     87     51      0      0      0      0   2619   1980  15735  15736      0 
 20260905    03:30:03       1    176     42     44     45      9      0      0      0      0   2619   1980  10129  10130      0 
 20260905    03:30:08       0    357     54     56     78     46      0      0      0      0   2619   1980  15739  15740      0 
 20260905    03:30:08       1    172     42     44     45      9      0      0      0      0   2619   1980  10129  10130      0 
 20260905    03:30:13       0    376     56     59     82     44      0      0      0      0   2619   1980  15739  15740      0 
 20260905    03:30:13       1    172     42     45     44      8      0      0      0      0   2619   1980  10129  10130      0 
 20260905    03:30:18       0    364     54     55     61     27      0      0      0      0   2619   1980  15741  15742      0 
 20260905    03:30:18       1    172     42     44     45      9      0      0      0      0   2619   1980  10129  10130      0 
 20260905    03:30:23       0    344     55     57     78     42      0      0      0      0   2619   1980  15741  15742      0 
 20260905    03:30:23       1    181     42     44     43      9      0      0      0      0   2619   1980  10131  10132      0 
 20260905    03:30:28       0    339     56     59     97     63      0      0      0      0   2619   1980  15743  15744      0 
 20260905    03:30:28       1    173     42     44     45      9      0      0      0      0   2619   1980  10131  10132      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260905    03:30:33       0    335     54     55     61     27      0      0      0      0   2619   1980  15745  15746      0 
 20260905    03:30:33       1    177     42     45     44      9      0      0      0      0   2619   1980  10131  10132      0 
 20260905    03:30:38       0    420     55     58     94     56      0      0      0      0   2619   1980  15745  15746      0 
 20260905    03:30:38       1    173     42     44     45      9      0      0      0      0   2619   1980  10131  10132      0 
 20260905    03:30:43       0    358     55     58     86     50      0      0      0      0   2619   1980  15745  15746      0 
 20260905    03:30:43       1    157     42     45     30      6      0      0      0      0   2619   1980  10131  10132      0 
 20260905    03:30:48       0    341     55     55     67     30      0      0      0      0   2619   1980  15747  15748      0 
 20260905    03:30:48       1    175     42     45     44      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:30:53       0    299     54     55     71     33      0      0      0      0   2619   1980  15749  15750      0 
 20260905    03:30:53       1    180     42     46     44      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:30:58       0    341     54     57     79     43      0      0      0      0   2619   1980  15749  15750      0 
 20260905    03:30:58       1    175     42     44     44      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:31:03       0    369     55     57     82     44      0      0      0      0   2619   1980  15749  15750      0 
 20260905    03:31:03       1    172     42     45     45      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:31:08       0    378     54     57     60     28      0      0      0      0   2619   1980  15751  15752      0 
 20260905    03:31:08       1    175     42     44     45      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:31:13       0    373     56     57     55     30      0      0      0      0   2619   1980  15751  15752      0 
 20260905    03:31:13       1    173     42     44     44      8      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:31:18       0    337     54     57     81     44      0      0      0      0   2619   1980  15751  15752      0 
 20260905    03:31:18       1    175     42     44     40      8      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:31:23       0    302     55     56     38     18      0      0      0      0   2619   1980  15753  15754      0 
 20260905    03:31:23       1    176     42     46     45      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:31:28       0    423     56     59     95     56      0      0      0      0   2619   1980  15755  15756      0 
 20260905    03:31:28       1    189     44     45     69     16      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:31:33       0    361     55     57     79     42      0      0      0      0   2619   1980  15755  15756      0 
 20260905    03:31:33       1    170     42     45     44      8      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:31:38       0    349     56     57     78     41      0      0      0      0   2619   1980  15755  15756      0 
 20260905    03:31:38       1    172     43     44     38      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:31:43       0    346     55     58     64     28      0      0      0      0   2619   1980  15757  15758      0 
 20260905    03:31:43       1    177     42     44     44      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:31:48       0    404     56     59     93     56      0      0      0      0   2619   1980  15759  15760      0 
 20260905    03:31:48       1    171     42     46     45      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:31:53       0    375     56     60     75     42      0      0      0      0   2619   1980  15759  15760      0 
 20260905    03:31:53       1    171     42     45     43      8      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:31:58       0    337     54     56     39     21      0      0      0      0   2619   1980  15759  15760      0 
 20260905    03:31:58       1    174     42     45     39      8      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:32:03       0    364     54     57      0      0      0      0      0      0   2619   1980  15761  15762      0 
 20260905    03:32:03       1    170     42     45     44      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:32:08       0    400     57     60     64     28      0      0      0      0   2619   1980  15761  15762      0 
 20260905    03:32:08       1    179     42     46     48     10      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:32:13       0    410     55     57     91     54      0      0      0      0   2619   1980  15763  15764      0 
 20260905    03:32:13       1    172     42     45     44      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:32:18       0    392     57     59     67     30      0      0      0      0   2619   1980  15767  15768      0 
 20260905    03:32:18       1    172     42     46     45      9      0      0      0      0   2619   1980  10133  10134      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260905    03:32:23       0    411     55     59     91     54      0      0      0      0   2619   1980  15767  15768      0 
 20260905    03:32:23       1    172     42     46     45      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:32:28       0    314     55     57     81     44      0      0      0      0   2619   1980  15767  15768      0 
 20260905    03:32:28       1    171     42     44     38      8      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:32:33       0    284     51     52     54     21      0      0      0      0   2619   1980  15771  15772      0 
 20260905    03:32:33       1    174     42     45     44      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:32:38       0    401     56     60     95     57      0      0      0      0   2619   1980  15771  15772      0 
 20260905    03:32:38       1    162     42     45     44      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:32:43       0    344     54     56     63     27      0      0      0      0   2619   1980  15771  15772      0 
 20260905    03:32:43       1    169     42     44     44      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:32:48       0    349     54     57     82     45      0      0      0      0   2619   1980  15773  15774      0 
 20260905    03:32:48       1    173     42     44     44      9      0      0      0      0   2619   1980  10133  10134      0 
 20260905    03:32:53       0    361     56     59     91     54      0      0      0      0   2619   1980  15773  15774      0 
 20260905    03:32:53       1    169     42     45     44      9      0      0      0      0   2619   1980  10135  10136      0 
 20260905    03:32:58       0    288     54     56     91     48      0      0      0      0   2619   1980  15773  15774      0 
 20260905    03:32:58       1    172     42     44     44      9      0      0      0      0   2619   1980  10135  10136      0 
 20260905    03:33:03       0    373     56     59     94     55      0      0      0      0   2619   1980  15773  15774      0 
 20260905    03:33:03       1    165     42     44     44      9      0      0      0      0   2619   1980  10135  10136      0 
 20260905    03:33:08       0    346     55     57     54     20      0      0      0      0   2619   1980  15775  15776      0 
 20260905    03:33:08       1    191     42     45     39      8      0      0      0      0   2619   1980  10215  10216      0 
 20260905    03:33:13       0    377     55     58     81     44      0      0      0      0   2619   1980  15777  15778      0 
