#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260904    22:24:26       1    161     35     41     44      9      0      0      0      0   2619   1980  10125  10126      0 
 20260904    22:24:31       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:24:31       1    158     35     42     44      9      0      0      0      0   2619   1980  10125  10126      0 
 20260904    22:24:36       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:24:36       1    159     35     41     45      9      0      0      0      0   2619   1980  10125  10126      0 
 20260904    22:24:41       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:24:41       1    162     35     42     44      9      0      0      0      0   2619   1980  10125  10126      0 
 20260904    22:24:46       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:24:46       1    143     34     41     25      5      0      0      0      0   2619   1980  10127  10128      0 
 20260904    22:24:51       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:24:51       1    157     35     42     44      9      0      0      0      0   2619   1980  10127  10128      0 
 20260904    22:24:56       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:24:56       1    159     35     42     44      9      0      0      0      0   2619   1980  10127  10128      0 
 20260904    22:25:01       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:25:01       1    158     35     41     44      8      0      0      0      0   2619   1980  10129  10130      0 
 20260904    22:25:06       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:25:06       1    160     35     41     44      9      0      0      0      0   2619   1980  10129  10130      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260904    22:25:11       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
