set,position,x,y,cos
neutral,1,A,A@125,0.9857709407806396
neutral,1,A,B@125,-0.10750677436590195
neutral,1,A,N1_halves,0.01952551119029522
neutral,1,B,A_early@30,0.008711805567145348
neutral,1,B,A_early@2,0.17549309134483337
neutral,1,B,A@25,-0.0814647376537323
neutral,1,B,B@25,0.6954900026321411
neutral,1,B,A@50,-0.07780715823173523
neutral,1,B,B@50,0.8027723431587219
neutral,1,B,A@75,-0.10329119116067886
neutral,1,B,B@75,0.8847245573997498
neutral,1,B,A@100,-0.11042796820402145
neutral,1,B,B@100,0.9363768100738525
neutral,1,B,A@125,-0.11594328284263611
neutral,1,B,B@125,0.9484883546829224
neutral,1,B,N1_halves,-0.13116352260112762
neutral,1,A_early@30,A_early@2,0.3159760534763336
neutral,1,A_early@30,A@25,0.6245793700218201
neutral,1,A_early@30,B@25,0.019184032455086708
neutral,1,A_early@30,A@50,0.6224955916404724
neutral,1,A_early@30,B@50,0.12585856020450592
neutral,1,A_early@30,A@75,0.6147081255912781
neutral,1,A_early@30,B@75,0.05955795571208
neutral,1,A_early@30,A@100,0.6031867861747742
neutral,1,A_early@30,B@100,0.04908124729990959
neutral,1,A_early@30,A@125,0.6055418848991394
neutral,1,A_early@30,B@125,0.03385540843009949
neutral,1,A_early@30,N1_halves,-0.060335252434015274
neutral,1,A_early@2,A@25,0.21847538650035858
neutral,1,A_early@2,B@25,0.27904653549194336
neutral,1,A_early@2,A@50,0.18791481852531433
neutral,1,A_early@2,B@50,0.2668423354625702
neutral,1,A_early@2,A@75,0.18984709680080414
neutral,1,A_early@2,B@75,0.22532355785369873
neutral,1,A_early@2,A@100,0.18202897906303406
neutral,1,A_early@2,B@100,0.19223229587078094
neutral,1,A_early@2,A@125,0.1721930056810379
neutral,1,A_early@2,B@125,0.20993246138095856
neutral,1,A_early@2,N1_halves,-0.06888741254806519
neutral,1,A@25,B@25,-0.021046698093414307
neutral,1,A@25,A@50,0.9281182885169983
neutral,1,A@25,B@50,0.04181748256087303
neutral,1,A@25,A@75,0.8919003009796143
neutral,1,A@25,B@75,-0.01560034416615963
neutral,1,A@25,A@100,0.8744902014732361
neutral,1,A@25,B@100,-0.05345715954899788
neutral,1,A@25,A@125,0.868747889995575
neutral,1,A@25,B@125,-0.06585338711738586
neutral,1,A@25,N1_halves,0.07132908701896667
