arm,step,set,position,raw_norm,constancy,base_constancy,excess_constancy,base_norm,n,split_half_floor,cos_halves
N1_halves,0,math,2,0.49289166927337646,,0.5957152247428894,,9.993386268615723,500,,
D,250,math,2,2.999246835708618,0.4386964738368988,0.5957152247428894,-0.1570187509059906,9.993386268615723,500,0.25699949264526367,0.996523380279541
D_math_full,225,math,2,5.354976654052734,0.5254015922546387,0.5957152247428894,-0.07031363248825073,9.993386268615723,500,0.3457918167114258,0.9979199767112732
A,150,math,2,0.4717963635921478,0.3763350248336792,0.5957152247428894,-0.2193801999092102,9.993386268615723,500,0.046441543847322464,0.9954752922058105
B,150,math,2,0.13048428297042847,0.3165281116962433,0.5957152247428894,-0.2791871130466461,9.993386268615723,500,0.018108565360307693,0.9904162883758545
N3,0,math,2,0.043280214071273804,0.10757710784673691,0.5957152247428894,-0.4881381168961525,9.993386268615723,500,0.010469428263604641,0.9713026285171509
N1_halves,0,math,3,0.5854194760322571,,0.5033721327781677,,10.516300201416016,500,,
D,250,math,3,2.2169766426086426,0.281516432762146,0.5033721327781677,-0.22185570001602173,10.516300201416016,500,0.2891372740268707,0.9917038679122925
D_math_full,225,math,3,3.3233819007873535,0.32690322399139404,0.5033721327781677,-0.17646890878677368,10.516300201416016,500,0.3465496003627777,0.9946330785751343
A,150,math,3,0.44696465134620667,0.30541303753852844,0.5033721327781677,-0.19795909523963928,10.516300201416016,500,0.04923802614212036,0.9948523044586182
B,150,math,3,0.12003033608198166,0.22892983257770538,0.5033721327781677,-0.27444230020046234,10.516300201416016,500,0.01784370467066765,0.989069402217865
N3,0,math,3,0.02795463241636753,0.047449324280023575,0.5033721327781677,-0.45592280849814415,10.516300201416016,500,0.010312766768038273,0.9344268441200256
N1_halves,0,math,4,0.6760572791099548,,0.44693270325660706,,10.56905460357666,500,,
D,250,math,4,1.7867918014526367,0.21158933639526367,0.44693270325660706,-0.23534336686134338,10.56905460357666,500,0.27494189143180847,0.9883489012718201
D_math_full,225,math,4,2.2915239334106445,0.23035666346549988,0.44693270325660706,-0.21657603979110718,10.56905460357666,500,0.3214578926563263,0.9907806515693665
A,150,math,4,0.3906536400318146,0.25064635276794434,0.44693270325660706,-0.19628635048866272,10.56905460357666,500,0.053217653185129166,0.9920788407325745
B,150,math,4,0.10718819499015808,0.1712329089641571,0.44693270325660706,-0.27569979429244995,10.56905460357666,500,0.020726323127746582,0.9818196296691895
N3,0,math,4,0.02072926238179207,0.025610346347093582,0.44693270325660706,-0.4213223569095135,10.56905460357666,500,0.010160255245864391,0.8866970539093018
