arm,step,set,position,raw_norm,constancy,base_constancy,excess_constancy,base_norm,n,split_half_floor,cos_halves
A_seed1@75,75,neutral,3,0.11314088106155396,0.1361655294895172,0.3451177179813385,-0.2089521884918213,11.801129341125488,500,0.02422996796667576,0.9774737358093262
A@100,100,neutral,3,0.15644627809524536,0.16058793663978577,0.3451177179813385,-0.18452978134155273,11.801129341125488,500,0.029180122539401054,0.9827563166618347
A_seed1@100,100,neutral,3,0.12047101557254791,0.14133387804031372,0.3451177179813385,-0.20378383994102478,11.801129341125488,500,0.025316566228866577,0.9783502221107483
A@125,125,neutral,3,0.16001872718334198,0.16089311242103577,0.3451177179813385,-0.18422460556030273,11.801129341125488,500,0.030309082940220833,0.9823920726776123
A_seed1@125,125,neutral,3,0.1269386261701584,0.1438852697610855,0.3451177179813385,-0.201232448220253,11.801129341125488,500,0.02625969611108303,0.979058563709259
N1_halves,0,neutral,4,0.8675513863563538,,0.33671361207962036,,11.718660354614258,500,,
A,150,neutral,4,0.14712190628051758,0.14188532531261444,0.33671361207962036,-0.19482828676700592,11.718660354614258,500,0.03193972632288933,0.9767520427703857
A_seed1,150,neutral,4,0.12410332262516022,0.138562873005867,0.33671361207962036,-0.19815073907375336,11.718660354614258,500,0.027447348460555077,0.9758726954460144
A@25,25,neutral,4,0.0865098312497139,0.08884233236312866,0.33671361207962036,-0.2478712797164917,11.718660354614258,500,0.02465236745774746,0.9604580998420715
A_seed1@25,25,neutral,4,0.06903436034917831,0.08180242776870728,0.33671361207962036,-0.2549111843109131,11.718660354614258,500,0.020146075636148453,0.9584189057350159
A@50,50,neutral,4,0.1153465285897255,0.11696883291006088,0.33671361207962036,-0.21974477916955948,11.718660354614258,500,0.02820928953588009,0.9705877304077148
A_seed1@50,50,neutral,4,0.09667625278234482,0.1102520227432251,0.33671361207962036,-0.22646158933639526,11.718660354614258,500,0.024586981162428856,0.9681746363639832
A@75,75,neutral,4,0.12959083914756775,0.1307554990053177,0.33671361207962036,-0.20595811307430267,11.718660354614258,500,0.029849207028746605,0.9738380312919617
A_seed1@75,75,neutral,4,0.10938981175422668,0.1294952630996704,0.33671361207962036,-0.20721834897994995,11.718660354614258,500,0.025018474087119102,0.9742206335067749
A@100,100,neutral,4,0.1428491771221161,0.14247208833694458,0.33671361207962036,-0.19424152374267578,11.718660354614258,500,0.030974607914686203,0.9768241047859192
A_seed1@100,100,neutral,4,0.1169591099023819,0.13568143546581268,0.33671361207962036,-0.20103217661380768,11.718660354614258,500,0.02585393190383911,0.9758831262588501
A@125,125,neutral,4,0.1451464593410492,0.13919366896152496,0.33671361207962036,-0.1975199431180954,11.718660354614258,500,0.032122015953063965,0.9758976101875305
A_seed1@125,125,neutral,4,0.12355662882328033,0.13805469870567322,0.33671361207962036,-0.19865891337394714,11.718660354614258,500,0.02752080373466015,0.9755069017410278
N1_halves,0,math,0,0.10799428820610046,,0.983864963054657,,20.83060073852539,500,,
A,150,math,0,0.22975468635559082,0.9090195298194885,0.983864963054657,-0.07484543323516846,20.83060073852539,500,0.00295267254114151,0.9999231696128845
A_seed1,150,math,0,0.22808025777339935,0.9307138323783875,0.983864963054657,-0.05315113067626953,20.83060073852539,500,0.00252793962135911,0.9999412298202515
A@25,25,math,0,0.13913023471832275,0.80587238073349,0.983864963054657,-0.177992582321167,20.83060073852539,500,0.002773931482806802,0.9998214244842529
A_seed1@25,25,math,0,0.14664602279663086,0.5966883301734924,0.983864963054657,-0.38717663288116455,20.83060073852539,500,0.0048975697718560696,0.9996248483657837
A@50,50,math,0,0.18595468997955322,0.6992950439453125,0.983864963054657,-0.2845699191093445,20.83060073852539,500,0.004953485447913408,0.9997356534004211
A_seed1@50,50,math,0,0.21028441190719604,0.8992017507553101,0.983864963054657,-0.08466321229934692,20.83060073852539,500,0.0028600189834833145,0.9999119639396667
A@75,75,math,0,0.19558626413345337,0.7114496231079102,0.983864963054657,-0.2724153399467468,20.83060073852539,500,0.0050598857924342155,0.9997426271438599
A_seed1@75,75,math,0,0.29665395617485046,0.9302515387535095,0.983864963054657,-0.05361342430114746,20.83060073852539,500,0.003299754112958908,0.9999629855155945
A@100,100,math,0,0.22624601423740387,0.891319751739502,0.983864963054657,-0.09254521131515503,20.83060073852539,500,0.0032092442270368338,0.9999049305915833
A_seed1@100,100,math,0,0.22226722538471222,0.8988660573959351,0.983864963054657,-0.08499890565872192,20.83060073852539,500,0.003028587903827429,0.9999110698699951
A@125,125,math,0,0.19915637373924255,0.5738538503646851,0.983864963054657,-0.4100111126899719,20.83060073852539,500,0.006971667055040598,0.9994657039642334
A_seed1@125,125,math,0,0.2875644564628601,0.8389880061149597,0.983864963054657,-0.14487695693969727,20.83060073852539,500,0.005117402411997318,0.9999220371246338
N1_halves,0,math,1,0.5128238201141357,,0.4921056032180786,,15.879556655883789,500,,
A,150,math,1,0.4828140139579773,0.7684618234634399,0.4921056032180786,0.27635622024536133,15.879556655883789,500,0.01076572947204113,0.9998254179954529
A_seed1,150,math,1,0.34304380416870117,0.7270679473876953,0.4921056032180786,0.2349623441696167,15.879556655883789,500,0.008537935093045235,0.9997408390045166
A@25,25,math,1,0.35257744789123535,0.7526671886444092,0.4921056032180786,0.26056158542633057,15.879556655883789,500,0.00821026973426342,0.9998305439949036
A_seed1@25,25,math,1,0.2642342746257782,0.6119934320449829,0.4921056032180786,0.1198878288269043,15.879556655883789,500,0.008546709083020687,0.9994998574256897
A@50,50,math,1,0.38507941365242004,0.7511227130889893,0.4921056032180786,0.25901710987091064,15.879556655883789,500,0.009004325605928898,0.9998032450675964
A_seed1@50,50,math,1,0.3062763512134552,0.7187700867652893,0.4921056032180786,0.2266644835472107,15.879556655883789,500,0.007782388012856245,0.999738335609436
A@75,75,math,1,0.45475271344184875,0.7677902579307556,0.4921056032180786,0.275684654712677,15.879556655883789,500,0.010159158147871494,0.9998233318328857
A_seed1@75,75,math,1,0.32579097151756287,0.7136364579200745,0.4921056032180786,0.22153085470199585,15.879556655883789,500,0.008383454754948616,0.9997214078903198
A@100,100,math,1,0.47729918360710144,0.7705559134483337,0.4921056032180786,0.2784503102302551,15.879556655883789,500,0.010580124333500862,0.9998424053192139
A_seed1@100,100,math,1,0.34668681025505066,0.7242002487182617,0.4921056032180786,0.2320946455001831,15.879556655883789,500,0.008690974675118923,0.9997409582138062
A@125,125,math,1,0.4886927604675293,0.7728877067565918,0.4921056032180786,0.2807821035385132,15.879556655883789,500,0.010761221870779991,0.9998505711555481
A_seed1@125,125,math,1,0.35108429193496704,0.741139829158783,0.4921056032180786,0.24903422594070435,15.879556655883789,500,0.008428641594946384,0.999767541885376
N1_halves,0,math,2,0.5673398375511169,,0.5812134742736816,,11.30801773071289,500,,
A,150,math,2,0.5124067068099976,0.263167142868042,0.5812134742736816,-0.31804633140563965,11.30801773071289,500,0.07391803711652756,0.9901893138885498
A_seed1,150,math,2,0.3794400990009308,0.26538240909576416,0.5812134742736816,-0.3158310651779175,11.30801773071289,500,0.053494084626436234,0.990189254283905
A@25,25,math,2,0.32084229588508606,0.24029436707496643,0.5812134742736816,-0.3409191071987152,11.30801773071289,500,0.04730040580034256,0.9893965125083923
A_seed1@25,25,math,2,0.2033882588148117,0.23749634623527527,0.5812134742736816,-0.34371712803840637,11.30801773071289,500,0.02984016388654709,0.9893484711647034
A@50,50,math,2,0.4182242155075073,0.24457725882530212,0.5812134742736816,-0.3366362154483795,11.30801773071289,500,0.06165875867009163,0.9896181225776672
A_seed1@50,50,math,2,0.2983437180519104,0.2641182243824005,0.5812134742736816,-0.31709524989128113,11.30801773071289,500,0.041367366909980774,0.9906740784645081
A@75,75,math,2,0.45766058564186096,0.2577022612094879,0.5812134742736816,-0.3235112130641937,11.30801773071289,500,0.06532008945941925,0.9902390241622925
A_seed1@75,75,math,2,0.3364686071872711,0.26195889711380005,0.5812134742736816,-0.3192545771598816,11.30801773071289,500,0.04791007936000824,0.9900093674659729
